Level_1,Level_2,Level_3,Level_4,Level_5,Level_6
food & beverages,food,soups & broths,,,
food & beverages,food,nuts & seeds,,,
food & beverages,food,snacks & chips,,,
food & beverages,food,meat substitutes,,,
food & beverages,food,spices & seasonings,,,
food & beverages,food,pasta & grains,,,
food & beverages,food,prepared food & meal kits,,,
food & beverages,food,candy & chocolate,,,
food & beverages,food,dips & spreads,,,
food & beverages,food,meat & seafood,,,
food & beverages,food,bakery & bread,,,
food & beverages,food,condiments & sauces,,,
food & beverages,food,"dairy, eggs & cheese",,,
food & beverages,food,frozen food,,,
food & beverages,food,baking ingredients,,,
food & beverages,food,fruits & vegetables,,,
food & beverages,food,breakfast & cereal,,,
food & beverages,food,,,,
food & beverages,beverages,sports & energy drinks,,,
food & beverages,beverages,juice,,,
food & beverages,beverages,powdered beverage mixes,,,
food & beverages,beverages,soda,,,
food & beverages,beverages,water,,,
food & beverages,beverages,coffee & tea,,,
food & beverages,beverages,alcoholic beverages,,,
food & beverages,beverages,milk,,,
food & beverages,beverages,,,,
food & beverages,,,,,
toys & games,outdoor toys,,,,
toys & games,stuffed animals & plush toys,,,,
toys & games,games,role playing games,,,
toys & games,games,chess,,,
toys & games,games,miniature & war games,,,
toys & games,games,dice games,,,
toys & games,games,tile games,,,
toys & games,games,card games,,,
toys & games,games,dexterity games,,,
toys & games,games,board games,,,
toys & games,games,,,,
toys & games,puzzles,,,,
toys & games,riding toys,,,,
toys & games,pretend play,,,,
toys & games,toy vehicles,,,,
toys & games,remote control toys,,,,
toys & games,educational toys,,,,
toys & games,dolls & doll houses,,,,
toys & games,building toys,,,,
toys & games,action figures,,,,
toys & games,electronic toys,,,,
toys & games,,,,,
home improvement,home heating & cooling,,,,
home improvement,building supplies & hardware,,,,
home improvement,plumbing & fixtures,,,,
home improvement,tools,ladders & scaffolding,,,
home improvement,tools,painting tools,,,
home improvement,tools,power tools,,,
home improvement,tools,measuring tools & sensors,,,
home improvement,tools,air tools,,,
home improvement,tools,hand tools,,,
home improvement,tools,,,,
home improvement,,,,,
sporting goods,sports equipment,ice & roller hockey,,,
sporting goods,sports equipment,rugby,,,
sporting goods,sports equipment,tennis & racquet sports,,,
sporting goods,sports equipment,volleyball,,,
sporting goods,sports equipment,golf,,,
sporting goods,sports equipment,soccer,,,
sporting goods,sports equipment,football,,,
sporting goods,sports equipment,track & field,,,
sporting goods,sports equipment,cricket,,,
sporting goods,sports equipment,field hockey & lacrosse,,,
sporting goods,sports equipment,boxing & martial arts,,,
sporting goods,sports equipment,dance & gymnastics,,,
sporting goods,sports equipment,baseball & softball,,,
sporting goods,sports equipment,basketball,,,
sporting goods,sports equipment,,,,
sporting goods,exercise & fitness,yoga & pilates,,,
sporting goods,exercise & fitness,cardio equipment,,,
sporting goods,exercise & fitness,weight lifting equipment,,,
sporting goods,exercise & fitness,,,,
sporting goods,indoor games,,,,
sporting goods,outdoor recreation,fishing,,,
sporting goods,outdoor recreation,water sports & boating,,,
sporting goods,outdoor recreation,skateboarding,,,
sporting goods,outdoor recreation,outdoor games,,,
sporting goods,outdoor recreation,cycling,,,
sporting goods,outdoor recreation,winter sports,,,
sporting goods,outdoor recreation,climbing,,,
sporting goods,outdoor recreation,inline & roller skating,,,
sporting goods,outdoor recreation,camping & hiking,,,
sporting goods,outdoor recreation,,,,
sporting goods,,,,,
pet supplies,pet carriers & containment,,,,
pet supplies,pet grooming supplies,,,,
pet supplies,small animal supplies,,,,
pet supplies,pet feeding & watering supplies,,,,
pet supplies,reptile & amphibian supplies,,,,
pet supplies,"pet collars, harnesses & leashes",,,,
pet supplies,pet steps & ramps,,,,
pet supplies,bird supplies,,,,
pet supplies,pet care & health,,,,
pet supplies,pet beds & bedding,,,,
pet supplies,fish supplies,,,,
pet supplies,cat supplies,,,,
pet supplies,dog supplies,,,,
pet supplies,,,,,
patio & garden,watering equipment,,,,
patio & garden,ponds & water features,,,,
patio & garden,outdoor power equipment,,,,
patio & garden,outdoor lighting,,,,
patio & garden,barbecues & outdoor cooking,,,,
patio & garden,"plants, seeds & bulbs",,,,
patio & garden,outdoor furniture,,,,
patio & garden,pools & spas,,,,
patio & garden,"plant care, soil & accessories",,,,
patio & garden,garden decor,,,,
patio & garden,garden hand tools & equipment,,,,
patio & garden,,,,,
office supplies,writing supplies,,,,
office supplies,presentation & display boards,,,,
office supplies,staplers & punches,,,,
office supplies,projectors,,,,
office supplies,tape & adhesives,,,,
office supplies,filing & storage,,,,
office supplies,clips & fasteners,,,,
office supplies,labels,,,,
office supplies,calendars & planners,,,,
office supplies,binders & accessories,,,,
office supplies,office equipment & machines,,,,
office supplies,mailing supplies,,,,
office supplies,paper products,,,,
office supplies,,,,,
musical instruments,pro audio equipment,,,,
musical instruments,music accessories,,,,
musical instruments,guitars & basses,,,,
musical instruments,brass instruments,,,,
musical instruments,drums & percussion instruments,,,,
musical instruments,pianos & keyboard instruments,,,,
musical instruments,woodwind instruments,,,,
musical instruments,string instruments,,,,
musical instruments,,,,,
media,newspapers,,,,
media,magazines & catalogs,,,,
media,books,,,,
media,movies & tv shows,,,,
media,music,,,,
media,,,,,
travel & luggage,garment bags,,,,
travel & luggage,travel accessories,,,,
travel & luggage,handbags & wallets,wallets,,,
travel & luggage,handbags & wallets,satchels,,,
travel & luggage,handbags & wallets,crossbody bags,,,
travel & luggage,handbags & wallets,totes,,,
travel & luggage,handbags & wallets,shoulder bags,,,
travel & luggage,handbags & wallets,clutches,,,
travel & luggage,handbags & wallets,belt bags & waist packs,,,
travel & luggage,handbags & wallets,,,,
travel & luggage,suitcases,,,,
travel & luggage,duffels & gym bags,,,,
travel & luggage,luggage sets,,,,
travel & luggage,briefcases & laptop bags,,,,
travel & luggage,backpacks,,,,
travel & luggage,,,,,
arts & crafts,craft supplies,,,,
arts & crafts,sewing,,,,
arts & crafts,needlecrafts & yarn,,,,
arts & crafts,beading & jewelry making,,,,
arts & crafts,art supplies,,,,
arts & crafts,,,,,
auto parts & accessories,trailer parts & accessories,,,,
auto parts & accessories,powersports parts & accessories,,,,
auto parts & accessories,rv & camper parts & accessories,,,,
auto parts & accessories,car parts & accessories,,,,
auto parts & accessories,boat parts & accessories,,,,
auto parts & accessories,motorcycle parts & accessories,,,,
auto parts & accessories,automotive tools,,,,
auto parts & accessories,,,,,
antiques & collectibles,collectible sports memorabilia,,,,
antiques & collectibles,collectible home goods,,,,
antiques & collectibles,collectible electronics,,,,
antiques & collectibles,collectible coins & paper money,,,,
antiques & collectibles,collectible stamps,,,,
antiques & collectibles,collectible furniture,,,,
antiques & collectibles,collectible appliances,,,,
antiques & collectibles,collectible toys,,,,
antiques & collectibles,,,,,
baby products,baby feeding,,,,
baby products,baby transport,baby carriers,,,
baby products,baby transport,strollers & accessories,,,
baby products,baby transport,car seats & accessories,,,
baby products,baby transport,,,,
baby products,baby health & safety,,,,
baby products,baby bathing,,,,
baby products,toys,activity centers & entertainers,,,
baby products,toys,baby toys,,,
baby products,toys,,,,
baby products,diapering & potty training,,,,
baby products,nursery,nursery bedding,,,
baby products,nursery,nursery decor,,,
baby products,nursery,nursery furniture,,,
baby products,nursery,,,,
baby products,,,,,
electronics,portable audio & video,,,,
electronics,home audio & video,,,,
electronics,home security & automation,,,,
electronics,cell phones & smart watches,cell phones,,,
electronics,cell phones & smart watches,cell phone & smart watch accessories,,,
electronics,cell phones & smart watches,smart watches,,,
electronics,cell phones & smart watches,,,,
electronics,projectors,,,,
electronics,cameras,binoculars & telescopes,,,
electronics,cameras,film cameras,,,
electronics,cameras,camera accessories,,,
electronics,cameras,camera drones,,,
electronics,cameras,digital cameras,,,
electronics,cameras,video cameras,,,
electronics,cameras,,,,
electronics,tvs & monitors,tvs,,,
electronics,tvs & monitors,computer monitors,,,
electronics,tvs & monitors,,,,
electronics,software,,,,
electronics,printers & scanners,,,,
electronics,video game consoles & video games,video game accessories,,,
electronics,video game consoles & video games,video game consoles,,,
electronics,video game consoles & video games,video games,,,
electronics,video game consoles & video games,,,,
electronics,computers & tablets,tablets & ebook readers,,,
electronics,computers & tablets,networking & servers,,,
electronics,computers & tablets,computer components & hardware,,,
electronics,computers & tablets,laptops,,,
electronics,computers & tablets,desktop computers,,,
electronics,computers & tablets,,,,
electronics,accessories,computer peripherals,,,
electronics,accessories,batteries & power supplies,,,
electronics,accessories,blank media,,,
electronics,accessories,"cables, chargers & adapters",,,
electronics,accessories,,,,
electronics,,,,,
health & beauty,health,oral care,,,
health & beauty,health,first aid,,,
health & beauty,health,feminine care,,,
health & beauty,health,vision care,,,
health & beauty,health,massage,,,
health & beauty,health,shaving & hair removal,,,
health & beauty,health,,,,
health & beauty,beauty,skin care,tanning oil & lotion,,
health & beauty,beauty,skin care,lip balms & treatments,,
health & beauty,beauty,skin care,masks & peels,,
health & beauty,beauty,skin care,exfoliators & scrubs,,
health & beauty,beauty,skin care,facial lotion & moisturizer,,
health & beauty,beauty,skin care,pore strips,,
health & beauty,beauty,skin care,night treatments,,
health & beauty,beauty,skin care,sunscreen,,
health & beauty,beauty,skin care,skin cleansing brushes & systems,,
health & beauty,beauty,skin care,acne & blemish treatments,,
health & beauty,beauty,skin care,cleansers & toners,,
health & beauty,beauty,skin care,,,
health & beauty,beauty,nail care,pumice stones,,
health & beauty,beauty,nail care,nail polish & art,,
health & beauty,beauty,nail care,nail tools,,
health & beauty,beauty,nail care,artificial nails & accessories,,
health & beauty,beauty,nail care,,,
health & beauty,beauty,makeup,makeup tools & accessories,,
health & beauty,beauty,makeup,lip makeup,lip plumpers,
health & beauty,beauty,makeup,lip makeup,lip gloss,
health & beauty,beauty,makeup,lip makeup,lip liners,
health & beauty,beauty,makeup,lip makeup,lip stains,
health & beauty,beauty,makeup,lip makeup,lipstick,
health & beauty,beauty,makeup,lip makeup,,
health & beauty,beauty,makeup,makeup sets & kits,,
health & beauty,beauty,makeup,face makeup,foundations,
health & beauty,beauty,makeup,face makeup,face powders,
health & beauty,beauty,makeup,face makeup,blushes,
health & beauty,beauty,makeup,face makeup,bronzers & highlighters,
health & beauty,beauty,makeup,face makeup,face primers,
